country,year,life_exp,ppp_cap,name_sort,iso_a3
Albania,1949,51.4,1830,Albania,ALB
Albania,1950,52.2,1840,Albania,ALB
Albania,1951,53.6,1920,Albania,ALB
Albania,1952,54.5,1920,Albania,ALB
Albania,1953,55.4,2000,Albania,ALB
Albania,1954,56.1,2050,Albania,ALB
Albania,1955,56.3,2170,Albania,ALB
Albania,1956,58,2190,Albania,ALB
Albania,1957,59.3,2330,Albania,ALB
Albania,1958,61,2430,Albania,ALB
Albania,1959,61.7,2530,Albania,ALB
Albania,1960,62.5,2660,Albania,ALB
Albania,1961,63.3,2690,Albania,ALB
Albania,1962,63.3,2780,Albania,ALB
Albania,1963,63.8,2880,Albania,ALB
Albania,1964,64.4,2990,Albania,ALB
Albania,1965,64.8,3100,Albania,ALB
Albania,1966,65.5,3220,Albania,ALB
Albania,1967,66.1,3350,Albania,ALB
Albania,1968,66.5,3480,Albania,ALB
Albania,1969,67.1,3600,Albania,ALB
Albania,1970,67.8,3740,Albania,ALB
Albania,1971,68.3,3900,Albania,ALB
Albania,1972,68.8,4060,Albania,ALB
Albania,1973,69.3,4270,Albania,ALB
Albania,1974,69.8,4300,Albania,ALB
Albania,1975,70.2,4320,Albania,ALB
Albania,1976,70.7,4340,Albania,ALB
Albania,1977,71.1,4370,Albania,ALB
Albania,1978,71.7,4400,Albania,ALB
Albania,1979,71.3,4430,Albania,ALB
Albania,1980,71.3,4470,Albania,ALB
Albania,1981,71.3,4500,Albania,ALB
Albania,1982,71.4,4530,Albania,ALB
Albania,1983,71.2,4570,Albania,ALB
Albania,1984,71.4,4600,Albania,ALB
Albania,1985,71.9,4630,Albania,ALB
Albania,1986,72.3,4670,Albania,ALB
Albania,1987,72.2,4710,Albania,ALB
Albania,1988,72.4,4750,Albania,ALB
Albania,1989,72.5,4790,Albania,ALB
Albania,1990,72.8,4840,Albania,ALB
Albania,1991,72.6,3510,Albania,ALB
Albania,1992,73.2,3280,Albania,ALB
Albania,1993,73.8,3610,Albania,ALB
Albania,1994,74.6,3930,Albania,ALB
Albania,1995,74.6,4490,Albania,ALB
Albania,1996,74.5,4930,Albania,ALB
Albania,1997,72.9,4420,Albania,ALB
Albania,1998,74.8,4840,Albania,ALB
Albania,1999,75.1,5490,Albania,ALB
Albania,2000,75.4,5910,Albania,ALB
Albania,2001,76,6460,Albania,ALB
Albania,2002,75.9,6780,Albania,ALB
Albania,2003,75.6,7180,Albania,ALB
Albania,2004,75.8,7610,Albania,ALB
Albania,2005,76.2,8070,Albania,ALB
Albania,2006,76.9,8600,Albania,ALB
Albania,2007,77.5,9180,Albania,ALB
Albania,2008,77.6,9940,Albania,ALB
Albania,2009,78,10300,Albania,ALB
Albania,2010,78.1,10800,Albania,ALB
Albania,2011,78.1,11100,Albania,ALB
Albania,2012,78.2,11300,Albania,ALB
Albania,2013,78.3,11400,Albania,ALB
Albania,2014,78.2,11600,Albania,ALB
Albania,2015,78.1,11900,Albania,ALB
Albania,2016,78.2,12300,Albania,ALB
Albania,2017,78.3,12800,Albania,ALB
Albania,2018,78.4,13400,Albania,ALB
Albania,2019,78.5,13700,Albania,ALB
Albania,2020,77.9,13300,Albania,ALB
Albania,2021,78.7,13900,Albania,ALB
Andorra,1949,NA,7680,Andorra,AND
Andorra,1950,74.6,7810,Andorra,AND
Andorra,1951,74.7,8440,Andorra,AND
Andorra,1952,74.8,9130,Andorra,AND
Andorra,1953,75,9870,Andorra,AND
Andorra,1954,75.1,10700,Andorra,AND
Andorra,1955,75.2,11500,Andorra,AND
Andorra,1956,75.3,12500,Andorra,AND
Andorra,1957,75.4,13500,Andorra,AND
Andorra,1958,75.5,14600,Andorra,AND
Andorra,1959,75.6,15800,Andorra,AND
Andorra,1960,75.7,17000,Andorra,AND
Andorra,1961,75.8,18400,Andorra,AND
Andorra,1962,75.9,19900,Andorra,AND
Andorra,1963,76,21500,Andorra,AND
Andorra,1964,76.2,23300,Andorra,AND
Andorra,1965,76.3,25200,Andorra,AND
Andorra,1966,76.4,27200,Andorra,AND
Andorra,1967,76.5,29400,Andorra,AND
Andorra,1968,76.7,31800,Andorra,AND
Andorra,1969,76.8,34400,Andorra,AND
Andorra,1970,77,37100,Andorra,AND
Andorra,1971,77.1,36900,Andorra,AND
Andorra,1972,77.2,38000,Andorra,AND
Andorra,1973,77.4,39000,Andorra,AND
Andorra,1974,77.5,39400,Andorra,AND
Andorra,1975,77.7,38100,Andorra,AND
Andorra,1976,77.8,38100,Andorra,AND
Andorra,1977,78,38000,Andorra,AND
Andorra,1978,78.1,37400,Andorra,AND
Andorra,1979,78.2,36300,Andorra,AND
Andorra,1980,78.3,35800,Andorra,AND
Andorra,1981,78.4,34400,Andorra,AND
Andorra,1982,78.5,33400,Andorra,AND
Andorra,1983,78.5,32600,Andorra,AND
Andorra,1984,78.6,31700,Andorra,AND
Andorra,1985,78.7,31100,Andorra,AND
Andorra,1986,78.8,30800,Andorra,AND
Andorra,1987,78.8,31200,Andorra,AND
Andorra,1988,78.9,31500,Andorra,AND
Andorra,1989,79,31800,Andorra,AND
Andorra,1990,79,31800,Andorra,AND
Andorra,1991,79.1,31300,Andorra,AND
Andorra,1992,79.2,30400,Andorra,AND
